,Binomial,Leaf Relative water content (water content / water content at saturation),Leaf Water content (molar) per leaf dry mass (WCd),Leaf Water content saturating (molar) (WCs),Leaf Water content total (molar) (WCt),Leaf area index of the site (LAI),Leaf area: in case of compound leaves undefined if leaf or leaflet; undefined if petiole and rhachis in- or excluded,Leaf carbon content per area,Leaf carbon content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf carotenoid content per dry mass,Leaf chlorophyll a content per dry mass,Leaf chlorophyll a+b content per area,Leaf chlorophyll a/b ratio,Leaf chlorophyll b content per dry mass,Leaf chlorophyll content (a+b) per dry mass,Leaf compoundness,Leaf dry matter content per leaf water-saturated mass (LDMC),Leaf lamina thickness,"Leaf lifespan (longevity, retention time, LL)",Leaf nitrogen content per area (Narea),Leaf nitrogen content per dry mass (Nmass),Leaf petiole length,Leaf phenology type,Leaf phosphorus content per area (Parea),Leaf phosphorus content per dry mass (Pmass),Leaf position,Leaf respiration per area at leaf temperature,Leaf respiration per dry mass,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf thickness,Leaf tissue density,Leaf transpiration (molar) per dry mass,Leaf transpiration rate per dry mass (daytime),Leaf water content per leaf dry mass,"Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)",Leaf water content saturating,Leaf water content total,Leaf water saturation deficit
804,Salicornia europaea,,593.5941485,,,0.70194447,,,,,,,,,,1.41,simple,200.65,,,,1.41,,,,0.24225,,,,entire,rounded,shorter than broad,not applicable,sessile,,,,,3.983853346,79.935,,,
805,Myriophyllum alterniflorum,,574.968709,,,1.656944394,,,,,,,,,,,compound,205.81,,,,,,,,,submerged,,,entire,pointed,1-3 times as long as wide,parallel-sided,,,,,,3.858850396,79.419,,,
806,Scheuchzeria palustris,,554.7929243,,,,,,,,,,,,,,simple,211.71,,,,,0.0,,,,,,,entire,rounded,>3 times as long as wide,parallel-sided,sessile,1.3125,,,,3.723442445,78.829,,,
807,Blackstonia perfoliata,,553.6644659,,,1.956944466,,,,,,,,,,,simple,212.05,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,,petiolate,,,,,3.715868899,78.795,,,
808,Juncus castaneus,,551.122169,,,,,,,,,,,,,,simple,212.82,0.2-0.5,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,3.698806503,78.718,,,
809,Anthyllis vulneraria,,547.5546258,,,1.736805558,,,25.76,,,,,,,,compound,213.91,,18,,,,evergreen,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,0.33,217.0704176,,,3.67486326,78.609,,,
810,Linaria dalmatica,,545.476096,,,1.359861136,,,46.393,23.96332645,,,,,,,,214.75,,,,1.742,,,,0.094,,,,entire,,,,,,,,,3.660913396,78.525,,,
811,Veronica alpina,,535.302379,,,,,,49.88406015,16.11563489,,,,,,,simple,217.74,,,,3.095382868,2.0,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,subsessile,0.26,139.9799727,,,3.592633416,78.226,,,
812,Prunella laciniata,,533.828468,,,1.736805558,,,14.55,,,,,,,,simple,218.21,,,,,,,,,,,,entire,rounded,1-3 times as long as wide,not applicable,petiolate,0.363,167.2629591,,,3.582741396,78.179,,,
813,Juncus gerardii,,463.7377708,,,1.338055491,,,,,1.61,,,3.26,,4.16,simple,243.1765119,0.2-0.5,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,3.112334032,75.68234881,,,
814,Erigeron canadensis,,463.9097079,,,1.557500005,,,44.06655,17.67533926,,,,,,,simple,243.2557383,,4.08,,2.79,0.0,,,0.39,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,0.135,257.7021269,,,3.113487973,75.67442617,,,
815,Juncus alpinoarticulatus,,461.5056134,,,,,,,,,,,,,,simple,244.06,0.5-1.0,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,3.09735311,75.594,,,
816,Pteridium aquilinum,,449.5713598,,,1.768472195,,,47.59060663,20.64337054,,,,,,4.430260047,compound,250.734824,,6,,2.31,10250.0,aestival,,0.1462,,,15.5986832,entire,pointed,1-3 times as long as wide,,petiolate,0.322,403.4702205,,,3.017257449,74.9265176,,,
817,Juncus biglumis,,398.1303198,,,,,,,,2.029411765,,,3.6,,7.176470588,simple,272.33,<0.2,,,1.56,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.672015569,72.767,,,
818,Equisetum sylvaticum,,385.2608197,,,2.14618063,,,49.50915931,21.48656998,,,,,,,simple,278.89,,,,2.304190914,,,,0.02,,,18.0,entire,pointed,,,,0.3004,166.4447404,,,2.585643085,72.111,,,
819,Bolboschoenus maritimus,,376.9627943,,,3.219583273,,,,,,,,,,,simple,283.29,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,2.52995164,71.671,,,
820,Equisetum fluviatile,,376.1101322,,,1.643055558,,,,,,,,,,,simple,283.75,,,,0.15,,,,0.04,,,,entire,rounded,1-3 times as long as wide,,,,,,,2.524229075,71.625,,,
821,Peucedanum officinale,,372.9246984,,,,,,,,,,,,,,compound,286.055,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,2.502850325,71.3945,,,
822,Draba aizoides,,370.2361305,,,2.052083313,,,,,,,,,,,simple,286.96,,>24,,,,,,,,,,entire,mucronate,>3 times as long as wide,cuneate,,,,,,2.484806245,71.304,,,
823,Potamogeton acutifolius,,367.3391898,,,1.310694456,,,,,,,,,,,simple,288.57,,,,,,,,,submerged,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,2.46536369,71.143,,,
824,Knautia arvensis,,347.9217532,,,1.709722221,,,48.36333333,12.90836299,,,,,,,simple,299.846,,,,2.15,,,,0.270857696,,,,entire,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,2.335045323,70.0154,,,
825,Ulex europaeus,,344.0687209,,,,,,,,,,,,,,simple,302.1891142,,,,3.19,,evergreen,,0.25,,,,entire,pointed,>3 times as long as wide,not applicable,,,,,,2.309186047,69.78108858,,,
826,Asparagus officinalis,,343.8273436,,,3.219583273,,,,,,,,,,,simple,302.385,,,,,,,,,,,,entire,pointed,>3 times as long as wide,sagittate,sessile,,,,,2.307566065,69.7615,,,
827,Blysmus rufus,,329.407449,,,,,,,,,,,,,,simple,311.45,,,,1.509,,,,0.059,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.210788249,68.855,,,
828,Eriophorum latifolium,,326.5217974,,,,,,,,,,,,,,simple,313.34,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.191421459,68.666,,,
829,Schoenus ferrugineus,,325.068321,,,1.795416713,,,,,,,,,,,simple,315.6,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,2.181666584,68.44,,,
830,Equisetum hyemale,,314.7996521,,,1.606527805,,,31.99859836,20.43372801,,,,,,,simple,321.5675391,,0-2,,1.383690278,,,,0.154629206,,,,entire,pointed,1-3 times as long as wide,,,,,,,2.112749343,67.84324609,,,
831,Syringa vulgaris,,308.3266844,,,1.452083349,,,,,,,,,,,simple,325.81,,,,,,aestival,,,,,,entire,pointed,1-3 times as long as wide,cordate,petiolate,0.293,243.6860068,,,2.069306607,67.419,,,
832,Ruscus aculeatus,,273.4389539,,,1.55138886,,,,,,,,,,1.198632575,simple,352.7410602,,,,3.076466667,0.0,evergreen,,,,,,entire,pointed,1-3 times as long as wide,truncate,sessile,,,,,1.835160764,64.72589398,,,
833,Schoenus nigricans,,260.1945184,,,,,,,,,,,,,,simple,364.13,,,,05-Oct,,semi-evergreen,,<1,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.746271936,63.587,,,
834,Lycopodium annotinum,,259.1185461,,,1.823750019,,,52.66517796,61.3777495,0.8,,,,,2.7,simple,365.09,,,,0.85805,,evergreen,,0.01,,,5.0,entire,pointed,1-3 times as long as wide,,sessile,0.2152,464.6840149,,,1.739050645,63.491,,,
835,Ulex gallii,,256.1034843,,,,,,,,,,,,,,simple,367.8072536,,,,2.49,,,,0.167,,,,entire,pointed,>3 times as long as wide,not applicable,,,,,,1.718815331,63.21927464,,,
836,Picea sitchensis,,245.1798942,,,1.634722233,,,,,,,,,,,simple,376.2432141,,,,1.32,,evergreen,,0.121,,,3.632899277,entire,acute,>3 times as long as wide,,sessile,,,,,1.657913193,62.37567859,,,
837,Larix decidua,,233.2958881,,,2.15972209,,,,,,,,,,,simple,389.751811,,,,2.25,,aestival,,0.172,,,,entire,rounded,>3 times as long as wide,parallel sided,sessile,0.147729167,376.1210177,,,1.565744215,61.02481891,,,
838,Juncus trifidus,,201.3162251,,,,,,51.88989334,16.07500299,,,,,,3.5,simple,425.33,0.2-0.5,,,3.227986543,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.351115604,57.467,,,
839,Festuca trachyphylla,,191.524728,,,1.562916637,,,,,,,,,,,simple,437.56,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,1.285400859,56.244,,,
840,Equisetum ramosissimum,,,,,0.503749967,,,,,,,,,,,simple,,,,,1.45,,,,0.189,,,,entire,mucronate,1-3 times as long as wide,,,,,,,,,,,
841,Triglochin palustris,,,,,0.679930568,,,,,2.77,,,6.64,,3.46,simple,,,,,,,aestival,,0.118,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
842,Avena sterilis,,,,,0.682083309,,,38.88478799,17.73041891,,,,,,,simple,,,,,2.21711883,0.0,,,0.228854604,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
843,Phalaris paradoxa,,,,,0.682083309,,,38.22010328,13.58972545,,,,,,,simple,,,,,2.562571835,0.0,,,0.181978912,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
844,Misopates orontium,,,,,0.784444451,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sessile,,,,,,,,,
845,Agrostis castellana,,,,,0.964166641,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
846,Galium parisiense,,,,,0.964166641,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,mucronate,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
847,Gaudinia fragilis,,,,,0.964166641,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
848,Lactuca saligna,,,,,1.103888869,,,42.402,19.98209237,,,,,,,simple,,,,,2.122,,,,,,,,entire,pointed,>3 times as long as wide,sagittate,petiolate,0.12,290.0,,,,,,,
849,Sagittaria latifolia,,,,,1.103888869,,,42.122,7.658545455,,,,,,,simple,,,,,5.5,510.0,,,,submerged,,,entire,pointed,1-3x as long as wide,sagittate,petiolate,0.21,139.9331663,,,,,,,
850,Calystegia soldanella,,,,,1.140277743,,,,,,,,,,,simple,,,,,2.34,,,,0.174,,,,entire,rounded,length = width,cordate,petiolate,,,,,,,,,
851,Hordeum jubatum,,,,,1.215138853,,,37.347,16.56921029,,,,,,,simple,,,,,2.05750318,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,0.12,408.9506173,,,,,,,
852,Myosotis alpestris,,,,,1.281527758,,,,,,,,,,,simple,,,,,3.612,0.0,,,,,,,entire,pointed,>3 times as long as wide,rounded,sessile,0.28,142.8571429,,,,,,,
853,Callitriche platycarpa,,,,,1.49000001,,,,,,,,,,,simple,,,,,,,evergreen,,,submerged,,,entire,emarginate,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
854,Scirpus sylvaticus,,,,,1.533333302,,,44.525,,,,,,,,simple,,,,,,0.0,,,0.175,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
855,Dipsacus fullonum,,,,,1.555694461,,,43.7,30.13793103,,,,,,,simple,,,,,1.45,,,,0.3515,,,,entire,pointed,1-3 times as long as wide,rounded,connate,,,,,,,,,
856,Equisetum palustre,,,,,1.632500053,,,37.8885,13.81294783,0.8,,,,,3.6,simple,,,,,2.571,,,,0.03,,,,entire,pointed,,,,,,,,,,,,
857,Equisetum pratense,,,,,1.688194513,,,,,,,,,,,simple,,,,,,,,,,,,15.0,entire,pointed,,,,0.2932,272.851296,,,,,,,
858,Ophioglossum vulgatum,,,,,1.688194513,,,,,,,,,,,simple,,,02-Jun,,,,aestival,,,,,8.23723229,entire,,1-3 times as long as wide,cuneate,,0.34,178.5294118,,,,,,,
859,Juncus subnodulosus,,,,,1.760555625,,,45.06622847,53.49616345,,,,,,,simple,,1.0-2.0,,,0.842419822,,,,8.69E-02,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
860,Dactylorhiza maculata,,,,,1.788888931,,,,,,,,,,,simple,,,,,,0.0,aestival,,,,,,entire,pointed,>3 times as long as wide,cuneate,sheathing,,,,,,,,,
861,Picea abies,,,,,2.201944351,,,49.8331,39.76467517,,,,2.87425,,,simple,,,,,1.324031239,,evergreen,,0.099,,,2.94,entire,acute,>3 times as long as broad,parallel sided,sessile,0.559550926,320.3486487,,,,,,,
862,Vaccinium corymbosum,,,,,2.207777739,,,,,,,,,,,,,,,,1.52,,,,,,,12.7,entire,,,,,0.0935,546.3505487,,,,,,,
863,Matthiola incana,,,,,2.554583311,,,,,,,,,,,simple,,,,,3.083,,,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,0.615,107.690322,,,,,,,
864,Kalmia latifolia,,,,,2.559791565,,,,,,,,,,,simple,,,,,1.15,20.0,evergreen,,,,,8.9,entire,pointed,1-3x as long as wide,,petiolate,0.185,419.6116398,,,,,,,
865,Myosurus minimus,,,,,3.219583273,,,,,,,,,,,simple,,,,,,,,,,,,,entire,rounded,>3 times as long as wide,parallel-sided,,,,,,,,,,
866,Abies nordmanniana,,,,,,,,,,,,,,,,simple,,,,,,0.0,evergreen,,,,,,entire,emarginate,>3 x as long as wide,parallel sided,sessile,,,,,,,,,
867,Adonis annua,,,,,,,,,,,,,,,,compound,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,parallel-sided,subsessile,,,,,,,,,
868,Agapanthus praecox,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
869,Alisma gramineum,,,,,,,,,,,,,,,,simple,,,,,,,,,,submerged,,,entire,pointed,>3 times as long as wide,parallel-sided,petiolate,,,,,,,,,
870,Alisma lanceolatum,,,,,,,,,,,,,,,,simple,,,,,,,,,,submerged,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
871,Arenaria norvegica,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,parallel-sided,sessile,,,,,,,,,
872,Atriplex littoralis,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
873,Atriplex longipes,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,,,,,,,,,,
874,Blechnum spicant,,,,,,,,,,,,,,,,compound,,,Dec-24,,,125.0,evergreen,,,,,,entire,pointed,>3 times as long as wide,,petiolate,,,,,,,,,
875,Bromus pseudosecalinus,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
876,Cabomba caroliniana,,,,,,,,,,,,,,,,simple,,,,,,20.0,,,,,,,entire,,>3 times as long as wide,saggitate,petiolate,,,,,,,,,
877,Callitriche brutia,,,,,,,,,,,,,,,,simple,,,,,,,,,,submerged,,,entire,emarginate,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
878,Callitriche hermaphroditica,,,,,,,,,,,,,,,,simple,,,,,,,,,,submerged,,,entire,emarginate,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
879,Callitriche obtusangula,,,,,,,,,,,,,,,,simple,,,,,,,,,,submerged,,,entire,rounded,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
880,Callitriche stagnalis,,,,,,,,,,,,,,,,simple,,,,,,,evergreen,,,submerged,,,entire,emarginate,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
881,Callitriche truncata,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,submerged,,,entire,emarginate,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
882,Camelina sativa,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,sagittate,petiolate,,,,,,,,,
883,Centaurea calcitrapa,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,not applicable,petiolate,,,,,,,,,
884,Cephalanthera rubra,,,,,,,,,,,,,,,,simple,,0.2-0.5,0-2,,,0.0,aestival,,,,,,entire,pointed,>3 times as long as wide,truncate,sessile,,,,,,,,,
885,Ceratophyllum demersum,,,,,,,,,,,,,,,,compound,,,,,,,,,,submerged,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
886,Ceratophyllum submersum,,,,,,,,,,,,,,,,compound,,,,,,0.0,,,,submerged,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
887,Clinopodium menthifolium,,,,,,,,,,,,,,,,simple,,,,,,5.0,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
888,Cochlearia anglica,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
889,Cochlearia micacea,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,rounded,length = width,cordate,petiolate,,,,,,,,,
890,Cochlearia pyrenaica,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,length = width,cordate,petiolate,,,,,,,,,
891,Cotoneaster dielsianus,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,,,,,,,,,,,,,
892,Cotoneaster divaricatus,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,,,,,,,,,,,,,
893,Cotoneaster franchetii,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,,,,,,,,,,,,,
894,Cotoneaster integrifolius,,,,,,,,,,,,,,,,simple,,,,,,1.5,evergreen,,,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
895,Cotoneaster lacteus,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,,,,,,,,,,,,,
896,Cotoneaster salicifolius,,,,,,,,,,,,,,,,simple,,,,,,,evergreen,,,,,,entire,,,,,,,,,,,,,
897,Crepis praemorsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entire,,,,,,,,,,,,,
898,Crithmum maritimum,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,parallel-sided,petiolate,,,,,,,,,
899,Crocosmia paniculata,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,,,,,,,,,,,,,
900,Crocosmia pottsii,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
901,Crocus nudiflorus,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
902,Crocus vernus,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
903,Cynoglossum germanicum,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
904,Cyperus longus,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
905,Cypripedium calceolus,,,,,,,,,,1.935,,,,,8.305,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,sheathing,,,,,,,,,
906,Dactylorhiza fuchsii,,,,,,,,,,1.53,,,,,5.73,simple,,,,,,0.0,aestival,,,,,,entire,rounded,>3 times as long as wide,cuneate,sheathing,,,,,,,,,
907,Doronicum pardalianches,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,cordate,petiolate,,,,,,,,,
908,Draba norvegica,,,,,,,,,,0.80952381,,,3.2,,2.857142857,simple,,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,not applicable,,,,,,,,,,
909,Elatine hexandra,,,,,,,,,,,,,,,,simple,,,,,,,,,,submerged,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
910,Eleocharis parvula,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
911,Equisetum variegatum,,,,,,,,,,0.555555556,,,2.4,,2.166666667,,,,,,2.24,,,,,,,,entire,rounded,1-3 times as long as wide,,,,,,,,,,,
912,Eriocaulon aquaticum,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,submerged,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
913,Eriophorum gracile,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,rounded,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
914,Erophila verna,,,,,,,,,,,,,,,,simple,,,,,,7.5,,,,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
915,Erysimum cheiri,,,,,,,,,,,,,,,,simple,,,,,,0.0,evergreen,,,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
916,Galanthus elwesii,,,,,,,,,,,,,,,,simple,,,,,,,vernal,,,,,,entire,pointed,>3x as long as wide,parallel sided,sessile,,,,,,,,,
917,Gentianopsis ciliata,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
918,Hottonia palustris,,,,,,,,,,,,,,,,compound,,,,,,,evergreen,,,submerged,,,entire,rounded,1-3 times as long as wide,,petiolate,,,,,,,,,
919,Isoetes echinospora,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,,sessile,,,,,,,,,
920,Isoetes lacustris,,,,,,,,,,,,,,,,simple,,,,,,,,,,submerged,,,entire,pointed,,,sessile,,,,,,,,,
921,Isolepis cernua,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
922,Isolepis setacea,,,,,,,,,,,,,,,,simple,,,,,,0.0,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
923,Juncus acutiflorus,,,,,,,,,,,,,,,,simple,,1.0-2.0,,,,,aestival,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
924,Juncus acutus,,,,,,,,,,,,,,,,simple,,>2.0,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
925,Juncus capitatus,,,,,,,,,,,,,,,,simple,,0.2-0.5,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
926,Juncus compressus,,,,,,,,,,,,,,,,simple,,<0.2,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
927,Juncus foliosus,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
928,Juncus maritimus,,,,,,,,,,,,,,,,simple,,>2.0,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
929,Juncus planifolius,,,,,,,,,,,,,,,,simple,,<0.2,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
930,Juncus pygmaeus,,,,,,,,,,,,,,,,simple,,0.2-0.5,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
931,Juncus triglumis,,,,,,,,,,,,,,,,simple,,0.5-1.0,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
932,Ligustrum ovalifolium,,,,,,,,,,,,,,,,simple,,,,,,5.0,evergreen,,,,,,entire,pointed,1-3x as long as broad,,petiolate,,,,,,,,,
933,Lotus tenuis,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,entire,pointed,length = width,cuneate,petiolate,,,,,,,,,
934,Luzula forsteri,,,,,,,,,,,,,,,,simple,,<0.2,,,,0.0,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
935,Luzula luzuloides,,,,,,,,,,,,,,,,simple,,<0.2,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
936,Luzula multiflora,,,,,,,,50.5929571,22.01957435,,,,,,,simple,,<0.2,,,2.297635563,,evergreen,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
937,Luzula pallescens,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,
938,Lysichiton americanus,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
939,Lysimachia terrestris,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,>3 times as long as wide,cuneate,,,,,,,,,,
940,Myosotis sylvatica,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,rounded,>3 times as long as wide,truncate,sessile,,,,,,,,,
941,Myriophyllum spicatum,,,,,,,,,,,,,,,,compound,,,,,,,evergreen,,,submerged,,,entire,pointed,1-3 times as long as wide,parallel-sided,,,,,,,,,,
942,Myriophyllum verticillatum,,,,,,,,,,,,,,,,compound,,,,,,,,,,submerged,,,entire,pointed,1-3 times as long as wide,parallel-sided,,,,,,,,,,
943,Neotinea maculata,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,>3 times as long as wide,cuneate,sheathing,,,,,,,,,
944,Oenanthe fistulosa,,,,,,,,,,,,,,,,compound,,,,,,,evergreen,,,,,,entire,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,,,,,
945,Oenanthe silaifolia,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,not applicable,petiolate,,,,,,,,,
946,Ophioglossum azoricum,,,,,,,,,,,,,,,,simple,,,02-Jun,,,,aestival,,,,,,entire,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
947,Ophioglossum lusitanicum,,,,,,,,,,,,,,,,simple,,,06-Dec,,,,hibernal,,,,,,entire,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
948,Orobanche alba,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,entire,pointed,1-3 times as long as wide,truncate,sessile,,,,,,,,,
949,Orobanche caryophyllacea,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,entire,pointed,1-3 times as long as wide,truncate,sessile,,,,,,,,,
